combo_id,lr,gamma,epsilon_decay,batch_size,target_update_freq,success_rate,caught_rate,timeout_rate,avg_reward,true_score,final_loss,final_epsilon
155,0.0005,0.999,0.9999,64,500,16.0,2.0,82.0,-108.238,14.0,11.649233525960566,0.9512270462715811
160,0.0005,0.999,0.9999,256,350,18.0,4.0,78.0,-93.60499999999996,14.0,652892.2784720252,0.9512270462715811
95,0.0005,0.99,0.9995,128,500,42.0,28.000000000000004,30.0,56.556,13.999999999999996,2627.4306592391413,0.7787520933134615
107,0.0005,0.99,0.9999,256,500,14.000000000000002,1.0,85.0,-125.97699999999999,13.000000000000002,6.405503852991459,0.9512270462715811
84,0.0005,0.99,0.999,128,200,15.0,2.0,83.0,-95.46399999999998,13.0,447771.75249772595,0.6063789448611848
135,0.0005,0.999,0.999,64,200,13.0,0.0,87.0,-163.267,13.0,127.09561400580144,0.6063789448611848
161,0.0005,0.999,0.9999,256,500,16.0,3.0,81.0,-90.15399999999998,13.0,41.98170286424879,0.9512270462715811
96,0.0005,0.99,0.9995,256,200,12.0,0.0,88.0,-152.73699999999997,12.0,1694128.1023179265,0.7787520933134615
113,0.0005,0.995,0.999,128,500,12.0,0.0,88.0,-140.35399999999998,12.0,10.758935506575277,0.6063789448611848
146,0.0005,0.999,0.9995,64,500,12.0,0.0,88.0,-134.585,12.0,3.0293026130728795,0.7787520933134615
154,0.0005,0.999,0.9999,64,350,14.000000000000002,3.0,83.0,-129.261,11.000000000000002,100.52407740756806,0.9512270462715811
91,0.0005,0.99,0.9995,64,350,13.0,2.0,85.0,-100.46799999999999,11.0,11.821017128123618,0.7787520933134615
92,0.0005,0.99,0.9995,64,500,12.0,1.0,87.0,-122.43399999999998,11.0,7.123414425235001,0.7787520933134615
111,0.0005,0.995,0.999,128,200,12.0,1.0,87.0,-115.13799999999999,11.0,12.899585994242656,0.6063789448611848
119,0.0005,0.995,0.9995,64,500,13.0,2.0,85.0,-127.59099999999997,11.0,7.734143952068799,0.7787520933134615
81,0.0005,0.99,0.999,64,200,10.0,0.0,90.0,-153.108,10.0,3637537.5255129067,0.6063789448611848
139,0.0005,0.999,0.999,128,350,22.0,12.0,66.0,-84.17799999999997,10.0,570.8938070860908,0.6063789448611848
157,0.0005,0.999,0.9999,128,350,13.0,3.0,84.0,-146.62099999999998,10.0,5.3152406906907395,0.9512270462715811
116,0.0005,0.995,0.999,256,500,9.0,0.0,91.0,-141.194,9.0,4.342920437329749,0.6063789448611848
118,0.0005,0.995,0.9995,64,350,10.0,1.0,89.0,-157.92399999999998,9.0,9.551944708582429,0.7787520933134615
147,0.0005,0.999,0.9995,128,200,19.0,10.0,71.0,-80.94499999999998,9.0,9510.001748074366,0.7787520933134615
151,0.0005,0.999,0.9995,256,350,28.999999999999996,20.0,51.0,-35.111000000000004,8.999999999999996,45972806.75925355,0.7787520933134615
82,0.0005,0.99,0.999,64,350,9.0,1.0,90.0,-136.73,8.0,7.158361866494682,0.6063789448611848
85,0.0005,0.99,0.999,128,350,9.0,1.0,90.0,-124.47299999999997,8.0,21.622384199692497,0.6063789448611848
97,0.0005,0.99,0.9995,256,350,8.0,0.0,92.0,-157.09699999999998,8.0,2.5911635828223187,0.7787520933134615
130,0.0005,0.995,0.9999,128,350,15.0,7.000000000000001,78.0,-134.482,7.999999999999999,5192.354625065887,0.9512270462715811
144,0.0005,0.999,0.9995,64,200,7.000000000000001,0.0,93.0,-157.54099999999997,7.000000000000001,4.293281014586711,0.7787520933134615
120,0.0005,0.995,0.9995,128,200,8.0,1.0,91.0,-176.827,7.0,121282.13890374386,0.7787520933134615
137,0.0005,0.999,0.999,64,500,8.0,1.0,91.0,-165.74,7.0,3.759373471578137,0.6063789448611848
142,0.0005,0.999,0.999,256,350,6.0,0.0,94.0,-180.99399999999997,6.0,49.71170775800121,0.6063789448611848
156,0.0005,0.999,0.9999,128,200,10.0,4.0,86.0,-168.363,6.0,20.385859003343185,0.9512270462715811
83,0.0005,0.99,0.999,64,500,5.0,0.0,95.0,-166.0,5.0,5.183864146659007,0.6063789448611848
89,0.0005,0.99,0.999,256,500,6.0,1.0,93.0,-189.18500000000003,5.0,7.555138132106105,0.6063789448611848
110,0.0005,0.995,0.999,64,500,4.0,0.0,96.0,-219.946,4.0,14.606166578314065,0.6063789448611848
140,0.0005,0.999,0.999,128,500,4.0,1.0,95.0,-183.38400000000001,3.0,45.47968301194961,0.6063789448611848
145,0.0005,0.999,0.9995,64,350,28.999999999999996,26.0,45.0,-69.008,2.9999999999999964,121558.43337318406,0.7787520933134615
